"game_str","play_per_game","pitcher"
"1883_013_Vis3AB_Home3A",159,NA
"1883_013_Vis3AB_Home3A",164,NA
"1883_016_Vis3AC_Home3A",79,NA
"1883_016_Vis3AC_Home3A",130,7394
"1883_016_Vis3AC_Home3A",292,839
"1883_017_Vis3AC_Home3A",17,6345
"1883_017_Vis3AC_Home3A",53,972
"1883_017_Vis3AC_Home3A",131,6345
"1883_017_Vis3AC_Home3A",298,NA
"1883_017_Vis3AC_Home3A",301,NA
"1883_017_Vis3AC_Home3A",302,NA
"1883_017_Vis3AC_Home3A",305,NA
"1883_018_Vis3AC_Home3A",10,480
"1883_018_Vis3AC_Home3A",16,480
"1883_018_Vis3AC_Home3A",24,480
"1883_018_Vis3AC_Home3A",101,NA
"1883_018_Vis3AC_Home3A",105,NA
"1883_018_Vis3AC_Home3A",124,NA
"1883_018_Vis3AC_Home3A",227,NA
"1883_028.5_Vis3AD_Home3A",50,NA
"1883_028.5_Vis3AD_Home3A",52,NA
"1883_028.5_Vis3AD_Home3A",135,NA
"1883_028.5_Vis3AD_Home3A",172,NA
"1883_028.5_Vis3AD_Home3A",175,NA
"1883_028_Vis3AD_Home3A",33,NA
"1883_029_Vis3AD_Home3A",273,NA
"1883_029_Vis3AD_Home3A",274,NA
"1883_029_Vis3AD_Home3A",275,NA
"1883_029_Vis3AD_Home3A",293,NA
"1883_030_Vis3AD_Home3A",7,NA
"1883_030_Vis3AD_Home3A",9,972
"1883_030_Vis3AD_Home3A",11,972
"1883_030_Vis3AD_Home3A",15,972
"1883_030_Vis3AD_Home3A",25,NA
"1883_030_Vis3AD_Home3A",26,NA
"1883_030_Vis3AD_Home3A",57,NA
"1883_030_Vis3AD_Home3A",60,972
"1883_030_Vis3AD_Home3A",62,NA
"1883_030_Vis3AD_Home3A",79,NA
"1883_039_Vis3AE_Home3A",142,966
"1883_039_Vis3AE_Home3A",160,NA
"1883_039_Vis3AE_Home3A",188,NA
"1883_039_Vis3AE_Home3A",189,720
"1883_039_Vis3AE_Home3A",209,NA
"1883_039_Vis3AE_Home3A",210,NA
"1883_039_Vis3AE_Home3A",237,NA
"1883_039_Vis3AE_Home3A",259,NA
"1883_039_Vis3AE_Home3A",288,NA
"1883_040_Vis3AE_Home3A",38,NA
"1883_040_Vis3AE_Home3A",45,NA
"1883_040_Vis3AE_Home3A",47,3854
"1883_040_Vis3AE_Home3A",48,NA
"1883_040_Vis3AE_Home3A",105,NA
"1883_040_Vis3AE_Home3A",106,NA
"1883_040_Vis3AE_Home3A",143,NA
"1883_041_Vis3AE_Home3A",84,NA
"1883_041_Vis3AE_Home3A",106,NA
"1883_041_Vis3AE_Home3A",107,NA
"1883_041_Vis3AE_Home3A",180,NA
"1883_041_Vis3AE_Home3A",264,NA
"1883_041_Vis3AE_Home3A",265,NA
"1883_041_Vis3AE_Home3A",268,839
"1883_041_Vis3AE_Home3A",354,NA
"1883_041_Vis3AE_Home3A",357,NA
"1883_043_Vis3AF_Home3A",27,6366
"1883_043_Vis3AF_Home3A",32,6366
"1883_043_Vis3AF_Home3A",42,645
"1883_043_Vis3AF_Home3A",77,645
"1883_043_Vis3AF_Home3A",122,645
"1883_043_Vis3AF_Home3A",140,6366
"1883_043_Vis3AF_Home3A",175,NA
"1883_043_Vis3AF_Home3A",347,677
"1883_044_Vis3AF_Home3A",61,768
"1883_044_Vis3AF_Home3A",65,768
"1883_044_Vis3AF_Home3A",66,768
"1883_044_Vis3AF_Home3A",78,2579
"1883_044_Vis3AF_Home3A",114,NA
"1883_044_Vis3AF_Home3A",115,NA
"1883_044_Vis3AF_Home3A",119,NA
"1883_044_Vis3AF_Home3A",124,NA
"1883_044_Vis3AF_Home3A",155,NA
"1883_044_Vis3AF_Home3A",190,NA
"1883_044_Vis3AF_Home3A",192,NA
"1883_045_Vis3AF_Home3A",5,NA
"1883_045_Vis3AF_Home3A",7,NA
"1883_045_Vis3AF_Home3A",9,NA
"1883_045_Vis3AF_Home3A",227,NA
"1883_045_Vis3AF_Home3A",238,7702
"1883_045_Vis3AF_Home3A",270,4216
"1884_001_Vis3AG_Home3A",219,8950
"1884_001_Vis3AG_Home3A",221,8950
"1884_001_Vis3AG_Home3A",243,978
"1884_001_Vis3AG_Home3A",248,978
"1884_001_Vis3AG_Home3A",278,677
"1884_002_Vis3AG_Home3A",16,674
"1884_002_Vis3AG_Home3A",35,674
"1884_002_Vis3AG_Home3A",37,674
"1884_002_Vis3AG_Home3A",67,6550
"1884_002_Vis3AG_Home3A",142,6550
"1884_002_Vis3AG_Home3A",153,674
"1884_003_Vis3AG_Home3A",8,433
"1884_003_Vis3AG_Home3A",25,2967
"1884_003_Vis3AG_Home3A",26,2967
"1884_003_Vis3AG_Home3A",30,2967
"1884_003_Vis3AG_Home3A",74,433
"1884_003_Vis3AG_Home3A",117,2967
"1884_004_Vis3AG_Home3A",35,893
"1884_004_Vis3AG_Home3A",51,893
"1884_004_Vis3AG_Home3A",57,893
"1884_004_Vis3AG_Home3A",228,567
"1884_004_Vis3AG_Home3A",230,567
"1884_010_Vis3AH_Home3A",65,674
"1884_010_Vis3AH_Home3A",66,674
"1884_010_Vis3AH_Home3A",67,674
"1884_010_Vis3AH_Home3A",70,674
"1884_010_Vis3AH_Home3A",72,674
"1884_010_Vis3AH_Home3A",74,674
"1884_010_Vis3AH_Home3A",77,674
"1884_010_Vis3AH_Home3A",124,674
"1884_010_Vis3AH_Home3A",128,674
"1884_010_Vis3AH_Home3A",129,674
"1884_010_Vis3AH_Home3A",293,677
"1884_011_Vis3AH_Home3A",8,433
"1884_011_Vis3AH_Home3A",12,433
"1884_011_Vis3AH_Home3A",13,433
"1884_011_Vis3AH_Home3A",16,433
"1884_011_Vis3AH_Home3A",60,8876
"1884_011_Vis3AH_Home3A",62,8876
"1884_011_Vis3AH_Home3A",104,8876
"1884_011_Vis3AH_Home3A",105,8876
"1884_011_Vis3AH_Home3A",159,8876
"1884_019_Vis3AI_Home3A",51,2922
"1884_019_Vis3AI_Home3A",52,2922
"1884_019_Vis3AI_Home3A",56,2922
"1884_019_Vis3AI_Home3A",201,436
"1884_019_Vis3AI_Home3A",205,436
"1884_019_Vis3AI_Home3A",220,2469
"1884_019_Vis3AI_Home3A",222,2469
"1884_019_Vis3AI_Home3A",225,2469
"1884_019_Vis3AI_Home3A",248,2469
"1884_019_Vis3AI_Home3A",254,2469
"1884_019_Vis3AI_Home3A",258,2469
"1884_021_Vis3AI_Home3A",30,433
"1884_022_Vis3AI_Home3A",30,9555
"1884_022_Vis3AI_Home3A",32,9555
"1884_022_Vis3AI_Home3A",35,9555
"1884_022_Vis3AI_Home3A",66,9555
"1884_022_Vis3AI_Home3A",67,9555
"1884_022_Vis3AI_Home3A",173,567
"1884_022_Vis3AI_Home3A",177,567
"1884_022_Vis3AI_Home3A",188,567
"1884_022_Vis3AI_Home3A",199,6642
"1884_022_Vis3AI_Home3A",231,4573
"1884_022_Vis3AI_Home3A",232,4573
"1884_022_Vis3AI_Home3A",237,4573
"1884_022_Vis3AI_Home3A",245,4573
"1884_022_Vis3AI_Home3A",335,677
"1884_030_Vis3AJ_Home3A",62,2096
"1884_030_Vis3AJ_Home3A",70,2096
"1884_030_Vis3AJ_Home3A",141,2096
"1884_031_Vis3AJ_Home3A",8,674
"1884_031_Vis3AJ_Home3A",35,7892
"1884_031_Vis3AJ_Home3A",105,7892
"1884_031_Vis3AJ_Home3A",110,7892
"1884_031_Vis3AJ_Home3A",111,7892
"1884_032_Vis3AJ_Home3A",5,433
"1884_032_Vis3AJ_Home3A",7,433
"1884_032_Vis3AJ_Home3A",38,433
"1884_032_Vis3AJ_Home3A",45,2499
"1884_032_Vis3AJ_Home3A",123,2499
"1884_032_Vis3AJ_Home3A",126,2499
"1884_036_Vis3AK_Home3A",3,674
"1884_036_Vis3AK_Home3A",53,674
"1884_036_Vis3AK_Home3A",121,4912
"1884_036_Vis3AK_Home3A",134,4912
"1884_037_Vis3AK_Home3A",15,433
"1884_037_Vis3AK_Home3A",16,433
"1884_037_Vis3AK_Home3A",27,9840
"1884_037_Vis3AK_Home3A",30,9840
"1884_037_Vis3AK_Home3A",72,9840
"1884_037_Vis3AK_Home3A",87,433
"1884_037_Vis3AK_Home3A",106,3284
"1884_037_Vis3AK_Home3A",264,9379
"1884_037_Vis3AK_Home3A",274,677
"1884_038_Vis3AK_Home3A",8,308
"1884_038_Vis3AK_Home3A",52,6685
"1884_038_Vis3AK_Home3A",53,6685
"1884_038_Vis3AK_Home3A",80,6685
"1884_038_Vis3AK_Home3A",81,6685
"1884_038_Vis3AK_Home3A",82,6685
"1884_038_Vis3AK_Home3A",86,6685
"1884_038_Vis3AK_Home3A",87,6685
"1884_038_Vis3AK_Home3A",91,6685
"1884_038_Vis3AK_Home3A",167,3358
"1884_038_Vis3AK_Home3A",262,7059
"1884_038_Vis3AK_Home3A",266,7059
"1884_051_Vis3AL_Home3A",19,433
"1884_051_Vis3AL_Home3A",23,433
"1884_051_Vis3AL_Home3A",47,4748
"1884_051_Vis3AL_Home3A",58,433
"1884_051_Vis3AL_Home3A",59,433
"1884_051_Vis3AL_Home3A",121,4748
"1884_052_Vis3AL_Home3A",77,2694
"1884_052_Vis3AL_Home3A",78,2694
"1884_052_Vis3AL_Home3A",81,2694
"1884_052_Vis3AL_Home3A",85,2694
"1884_052_Vis3AL_Home3A",86,2694
"1884_052_Vis3AL_Home3A",167,2694
"1884_052_Vis3AL_Home3A",198,947
"1884_052_Vis3AL_Home3A",199,947
"1884_052_Vis3AL_Home3A",200,947
"1884_052_Vis3AL_Home3A",202,947
"1884_053_Vis3AL_Home3A",25,6848
"1884_053_Vis3AL_Home3A",56,6848
"1884_053_Vis3AL_Home3A",59,6848
"1884_053_Vis3AL_Home3A",61,6848
"1884_053_Vis3AL_Home3A",80,849
"1884_053_Vis3AL_Home3A",145,7203
"1884_054_Vis3AL_Home3A",30,674
"1884_054_Vis3AL_Home3A",123,5795
"1884_054_Vis3AL_Home3A",156,620
"1884_054_Vis3AL_Home3A",161,620
"1884_054_Vis3AL_Home3A",166,620
"1884_054_Vis3AL_Home3A",239,8330
"1884_054_Vis3AL_Home3A",241,8330
"1884_054_Vis3AL_Home3A",244,8330
"1884_054_Vis3AL_Home3A",247,8330
"1884_061_Vis3AM_Home3A",11,433
"1884_061_Vis3AM_Home3A",199,6269
"1884_062_Vis3AM_Home3A",65,4405
"1884_062_Vis3AM_Home3A",67,4405
"1884_062_Vis3AM_Home3A",68,4405
"1884_062_Vis3AM_Home3A",141,4405
"1884_064_Vis3AM_Home3A",13,674
"1884_064_Vis3AM_Home3A",115,6346
"1884_064_Vis3AM_Home3A",116,6346
"1884_064_Vis3AM_Home3A",222,808
"1884_074_Vis3AN_Home3A",64,5501
"1884_074_Vis3AN_Home3A",80,5501
"1884_074_Vis3AN_Home3A",83,5501
"1884_074_Vis3AN_Home3A",190,5501
"1884_074_Vis3AN_Home3A",191,5501
"1884_074_Vis3AN_Home3A",210,900
"1884_074_Vis3AN_Home3A",324,8270
"1884_074_Vis3AN_Home3A",328,8270
"1884_074_Vis3AN_Home3A",329,8270
"1884_075_Vis3AN_Home3A",47,674
"1884_075_Vis3AN_Home3A",136,674
"1884_075_Vis3AN_Home3A",137,674
"1884_075_Vis3AN_Home3A",145,8303
"1884_075_Vis3AN_Home3A",149,8303
"1884_075_Vis3AN_Home3A",163,8303
"1884_075_Vis3AN_Home3A",234,6090
"1884_075_Vis3AN_Home3A",235,6090
"1884_075_Vis3AN_Home3A",241,6090
"1884_076_Vis3AN_Home3A",9,433
"1884_076_Vis3AN_Home3A",42,433
